Number of Articles,Number of Founders,Number of Funding Rounds,Total Funding Amount,Number of Investors,Number of Acquisitions,Number of Lead Investors,Successful Exit (True/False)
12,,,,,,,0
,1,,,,,,0
,,,,,,,0
16,,,,,,,0
,1,,,,,,0
,1,,,,,,0
184,2,5,36825000,6,,5,0
3,,,,,,,0
,,,,,,,1
9,1,,,,,,0
,,,,,,,1
,,,,,,,0
,1,,,,,,0
2,1,1,500000,1,,,0
,,,,,,,0
,,,,,,,0
,2,,,,,,1
,1,,,,,,0
,,,,,,,0
17,1,,,,,,0
,1,,,,,,0
,,,,,,,0
1,,1,6000000,1,1,1,1
1,,,,,1,,1
6,4,,,,,,1
,,,,,1,,0
24,,,,,,,0
,,,,,,,0
4,1,2,800000,8,,,1
5,1,3,12000000,2,,1,0
10,2,4,9700000,6,,1,0
,,,,,,,0
,,,,,,,1
,,,,,,,1
1,,,,,,,1
,,,,,,,0
6,,,,,,,1
,,,,,1,,0
,,1,1000000,,,,0
,,,,,,,1
,,,,,,,0
2,,,,,,,0
1,,,,,,,0
2,1,,,,,,0
,,,,,,,0
53,,,,,3,,1
,,1,,2,,,1
,1,,,,,,1
,,,,,,,0
,1,1,320000,1,,,0
,,,,,,,1
,,,,,,,0
,,,,,,,1
,,,,,1,,1
2,,,,,,,0
,,,,,,,0
,1,,,,,,0
25,,,,,,,0
,,,,,,,0
13,,,,,,,1
,,,,,,,0
,1,,,,,,0
,,,,,,,0
,1,1,250000,,,,0
,,,,,,,0
14,,,,,,,1
4,1,,,,1,,1
,,,,,,,1
,,1,20000,1,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
